
15:58:00:498 cBlockDiagram.Ws:  START
15:58:05:776   deleting nQ6Jnk1MZ3                                                                                     :0.000084
15:58:05:776   type to delete OLEObject                                                                                :0.000409
15:58:05:776   deleting ZPZp6MKkqs                                                                                     :0.000085
15:58:05:776   type to delete OLEObject                                                                                :0.000411
15:58:05:776   deleting IDKZP39s5U                                                                                     :0.000085
15:58:05:781   type to delete OLEObject                                                                                :0.000473
15:58:05:781   deleting HMBzYHYQ7o                                                                                     :0.000092
15:58:05:781   type to delete OLEObject                                                                                :0.000404
15:58:05:781   deleting H/k9SGc4Nr                                                                                     :0.000087
15:58:05:781   type to delete OLEObject                                                                                :0.000409
15:58:05:781   deleting zm7LI5UpF5                                                                                     :0.000089
15:58:05:781   type to delete OLEObject                                                                                :0.000403
15:58:05:781   deleting ck8L0CTT0/                                                                                     :0.000086
15:58:05:781   type to delete OLEObject                                                                                :0.000395
15:58:05:781   deleting 5elVwgOmK6                                                                                     :0.000085
15:58:05:781   type to delete OLEObject                                                                                :0.000411
15:58:05:781   deleting LVj1AUT9EN                                                                                     :0.000084
15:58:05:781   type to delete OLEObject                                                                                :0.000393
15:58:05:781   deleting dZSBjhnmaJ                                                                                     :0.000083
15:58:05:781   type to delete OLEObject                                                                                :0.000396
15:58:05:781   deleting /1Uai0Tmm0                                                                                     :0.000082
15:58:05:781   type to delete OLEObject                                                                                :0.000392
15:58:05:781   deleting hov3Xwjssk                                                                                     :0.000083
15:58:05:786   type to delete OLEObject                                                                                :0.000415
15:58:05:786   deleting maXZ1dKYiQ                                                                                     :0.000086
15:58:05:786   type to delete OLEObject                                                                                :0.000393
15:58:05:786   deleting Gb9AdivjZX                                                                                     :0.000083
15:58:05:786   type to delete OLEObject                                                                                :0.000405
15:58:05:786   deleting G2Vk4Q1RyE                                                                                     :0.000092
15:58:05:786   type to delete OLEObject                                                                                :0.000403
15:58:05:786   deleting XfdiDp74c5                                                                                     :0.000086
15:58:05:786   type to delete OLEObject                                                                                :0.000391
15:58:05:786   deleting v1tbOjyZNZ                                                                                     :0.000082
15:58:05:786   type to delete OLEObject                                                                                :0.000405
15:58:05:786   deleting H+YEr9v8cL                                                                                     :0.000085
15:58:05:786   type to delete OLEObject                                                                                :0.000704
15:58:05:786   deleting c5Q257+yCc                                                                                     :0.000127
15:58:05:786   type to delete OLEObject                                                                                :0.000912
15:58:05:791   deleting c4fdVMDMYv                                                                                     :0.000119
15:58:05:791   type to delete OLEObject                                                                                :0.000667
15:58:05:791   deleting 3M7PvuFREs                                                                                     :0.000106
15:58:05:791   type to delete OLEObject                                                                                :0.000539
15:58:05:791   deleting xYiF0FSEtP                                                                                     :0.000086
15:58:05:791   type to delete OLEObject                                                                                :0.000358
15:58:05:791   deleting ah997OUgy7                                                                                     :0.000100
15:58:05:791   type to delete OLEObject                                                                                :0.000467
15:58:05:791   deleting GyiYesjU0D                                                                                     :0.000105
15:58:05:791   type to delete OLEObject                                                                                :0.000461
15:58:05:791   deleting O3CjtWCgc/                                                                                     :0.000095
15:58:05:791   type to delete OLEObject                                                                                :0.000405
15:58:05:791   deleting vZEfzzfM4U                                                                                     :0.000084
15:58:05:791   type to delete OLEObject                                                                                :0.000471
15:58:05:791   deleting l/sfqJgF7h                                                                                     :0.000085
15:58:05:791   type to delete OLEObject                                                                                :0.000480
15:58:05:796   deleting lzj2wKMMc/                                                                                     :0.000113
15:58:05:796   type to delete OLEObject                                                                                :0.000390
15:58:05:796   deleting QoIiXrE8RD                                                                                     :0.000086
15:58:05:796   type to delete OLEObject                                                                                :0.000389
15:58:05:796   deleting iODdI8qW8B                                                                                     :0.000083
15:58:05:796   type to delete OLEObject                                                                                :0.000405
15:58:05:796   deleting Lo1SX2ARRJ                                                                                     :0.000122
15:58:05:796   type to delete OLEObject                                                                                :0.000400
15:58:05:796   deleting dmCCjzXXbf                                                                                     :0.000083
15:58:05:796  cBlockDiagram.cleanUp:  END                                                                              :0.077876
15:58:05:796  cBlockDiagram.loadElements:  START
15:58:05:796   Rectangle 157 0                                                                                         :0.000652
15:58:05:796   cBlockDiagramBlock.Rectangle:  START
15:58:05:796    Stock Data.applyLabel:  START
15:58:05:796     HashIt.BASE64SHA1:  START
15:58:05:826     HashIt.BASE64SHA1:  END                                                                               :0.029775
15:58:05:861     HashIt.BASE64SHA1:  START
15:58:05:861     HashIt.BASE64SHA1:  END                                                                               :0.000468
15:58:05:861    Stock Data.applyLabel:  END: wVWwIUmqRt                                                                :0.064707
15:58:05:861   cBlockDiagramBlock.Rectangle:  END: Stock Data                                                          :0.065682
15:58:05:861   Stock Data loaded in mElements                                                                          :0.066323
15:58:05:861   Rectangle 32 0                                                                                          :0.000067
15:58:05:866   cBlockDiagramBlock.Rectangle:  START
15:58:05:866    Stock Data Re-order Point.applyLabel:  START
15:58:05:866     HashIt.BASE64SHA1:  START
15:58:05:866     HashIt.BASE64SHA1:  END                                                                               :0.000368
15:58:05:891     HashIt.BASE64SHA1:  START
15:58:05:891     HashIt.BASE64SHA1:  END                                                                               :0.000584
15:58:05:891    Stock Data Re-order Point.applyLabel:  END: Label1                                                     :0.028865
15:58:05:896   cBlockDiagramBlock.Rectangle:  END: Stock Data Re-order Point                                           :0.030402
15:58:05:896   Stock Data Re-order Point loaded in mElements                                                           :0.031407
15:58:05:896   Rectangle 62 0                                                                                          :0.000067
15:58:05:896   cBlockDiagramBlock.Rectangle:  START
15:58:05:896    Stock Data MOQ.applyLabel:  START
15:58:05:896     HashIt.BASE64SHA1:  START
15:58:05:896     HashIt.BASE64SHA1:  END                                                                               :0.000361
15:58:05:921     HashIt.BASE64SHA1:  START
15:58:05:926     HashIt.BASE64SHA1:  END                                                                               :0.000448
15:58:05:926    Stock Data MOQ.applyLabel:  END: C7thpNeAx4                                                            :0.027908
15:58:05:926   cBlockDiagramBlock.Rectangle:  END: Stock Data MOQ                                                      :0.029376
15:58:05:926   Stock Data MOQ loaded in mElements                                                                      :0.030363
15:58:05:926   Rectangle 63 0                                                                                          :0.000067
15:58:05:926   cBlockDiagramBlock.Rectangle:  START
15:58:05:926    Stock Data Target Stock.applyLabel:  START
15:58:05:926     HashIt.BASE64SHA1:  START
15:58:05:926     HashIt.BASE64SHA1:  END                                                                               :0.000344
15:58:05:961     HashIt.BASE64SHA1:  START
15:58:05:961     HashIt.BASE64SHA1:  END                                                                               :0.000471
15:58:05:961    Stock Data Target Stock.applyLabel:  END: Bsl7mZaQQe                                                   :0.035732
15:58:05:961   cBlockDiagramBlock.Rectangle:  END: Stock Data Target Stock                                             :0.037100
15:58:05:966   Stock Data Target Stock loaded in mElements                                                             :0.038193
15:58:05:966   Rectangle 61 0                                                                                          :0.000070
15:58:05:966   cBlockDiagramBlock.Rectangle:  START
15:58:05:966    ROP (re-order ppoint).applyLabel:  START
15:58:05:966     HashIt.BASE64SHA1:  START
15:58:05:966     HashIt.BASE64SHA1:  END                                                                               :0.000363
15:58:05:991     HashIt.BASE64SHA1:  START
15:58:05:991     HashIt.BASE64SHA1:  END                                                                               :0.000488
15:58:05:991    ROP (re-order ppoint).applyLabel:  END: fl4wZzh3R9                                                     :0.028802
15:58:05:991   cBlockDiagramBlock.Rectangle:  END: ROP (re-order ppoint)                                               :0.029609
15:58:05:996   ROP (re-order ppoint) loaded in mElements                                                               :0.030524
15:58:05:996   Rectangle 10 0                                                                                          :0.000115
15:58:05:996   cBlockDiagramBlock.Rectangle:  START
15:58:05:996    Stock Purchase n-1.applyLabel:  START
15:58:05:996     HashIt.BASE64SHA1:  START
15:58:05:996     HashIt.BASE64SHA1:  END                                                                               :0.000416
15:58:06:026     HashIt.BASE64SHA1:  START
15:58:06:026     HashIt.BASE64SHA1:  END                                                                               :0.000499
15:58:06:026    Stock Purchase n-1.applyLabel:  END: Label2                                                            :0.030022
15:58:06:026   cBlockDiagramBlock.Rectangle:  END: Stock Purchase n-1                                                  :0.031958
15:58:06:026   Stock Purchase n-1 loaded in mElements                                                                  :0.033136
15:58:06:026   Rectangle 9 0                                                                                           :0.000066
15:58:06:026   cBlockDiagramBlock.Rectangle:  START
15:58:06:031    Stock Purchase n.applyLabel:  START
15:58:06:031     HashIt.BASE64SHA1:  START
15:58:06:031     HashIt.BASE64SHA1:  END                                                                               :0.000336
15:58:06:056     HashIt.BASE64SHA1:  START
15:58:06:056     HashIt.BASE64SHA1:  END                                                                               :0.000526
15:58:06:056    Stock Purchase n.applyLabel:  END: JomONTdEpO                                                          :0.028973
15:58:06:056   cBlockDiagramBlock.Rectangle:  END: Stock Purchase n                                                    :0.030392
15:58:06:061   Stock Purchase n loaded in mElements                                                                    :0.031582
15:58:06:061   Rectangle 39 0                                                                                          :0.000070
15:58:06:061   cBlockDiagramBlock.Rectangle:  START
15:58:06:061    Costs and provisions n.applyLabel:  START
15:58:06:061     HashIt.BASE64SHA1:  START
15:58:06:061     HashIt.BASE64SHA1:  END                                                                               :0.000367
15:58:06:086     HashIt.BASE64SHA1:  START
15:58:06:086     HashIt.BASE64SHA1:  END                                                                               :0.000595
15:58:06:091    Costs and provisions n.applyLabel:  END: Label3                                                        :0.028195
15:58:06:091   cBlockDiagramBlock.Rectangle:  END: Costs and provisions n                                              :0.029653
15:58:06:091   Costs and provisions n loaded in mElements                                                              :0.030700
15:58:06:091   Rectangle 1 0                                                                                           :0.000068
15:58:06:091   cBlockDiagramBlock.Rectangle:  START
15:58:06:091    Proposed COS n.applyLabel:  START
15:58:06:091     HashIt.BASE64SHA1:  START
15:58:06:091     HashIt.BASE64SHA1:  END                                                                               :0.000365
15:58:06:116     HashIt.BASE64SHA1:  START
15:58:06:121     HashIt.BASE64SHA1:  END                                                                               :0.000584
15:58:06:121    Proposed COS n.applyLabel:  END: nWNAZ19HwP                                                            :0.028348
15:58:06:121   cBlockDiagramBlock.Rectangle:  END: Proposed COS n                                                      :0.029660
15:58:06:121   Proposed COS n loaded in mElements                                                                      :0.030848
15:58:06:121   Rectangle 2 0                                                                                           :0.000067
15:58:06:121   cBlockDiagramBlock.Rectangle:  START
15:58:06:121    Proposed Stock Purchase n.applyLabel:  START
15:58:06:121     HashIt.BASE64SHA1:  START
15:58:06:121     HashIt.BASE64SHA1:  END                                                                               :0.000371
15:58:06:146     HashIt.BASE64SHA1:  START
15:58:06:151     HashIt.BASE64SHA1:  END                                                                               :0.000539
15:58:06:151    Proposed Stock Purchase n.applyLabel:  END: b10HgL8BWg                                                 :0.027486
15:58:06:151   cBlockDiagramBlock.Rectangle:  END: Proposed Stock Purchase n                                           :0.028753
15:58:06:151   Proposed Stock Purchase n loaded in mElements                                                           :0.029682
15:58:06:151   Rectangle 3 0                                                                                           :0.000068
15:58:06:151   cBlockDiagramBlock.Rectangle:  START
15:58:06:151    Proposed COS n-1.applyLabel:  START
15:58:06:151     HashIt.BASE64SHA1:  START
15:58:06:151     HashIt.BASE64SHA1:  END                                                                               :0.000361
15:58:06:176     HashIt.BASE64SHA1:  START
15:58:06:176     HashIt.BASE64SHA1:  END                                                                               :0.000534
15:58:06:176    Proposed COS n-1.applyLabel:  END: nQ6Jnk1MZ3                                                          :0.026456
15:58:06:181   cBlockDiagramBlock.Rectangle:  END: Proposed COS n-1                                                    :0.027784
15:58:06:181   Proposed COS n-1 loaded in mElements                                                                    :0.028862
15:58:06:181   Curved Connector 4 3                                                                                    :0.000065
15:58:06:181   loading Curved Connector 4 in mElements                                                                 :0.000038
15:58:06:181   Rectangle 5 0                                                                                           :0.000217
15:58:06:181   cBlockDiagramBlock.Rectangle:  START
15:58:06:181    Opening stock n.applyLabel:  START
15:58:06:181     HashIt.BASE64SHA1:  START
15:58:06:181     HashIt.BASE64SHA1:  END                                                                               :0.000355
15:58:06:211     HashIt.BASE64SHA1:  START
15:58:06:211     HashIt.BASE64SHA1:  END                                                                               :0.000473
15:58:06:211    Opening stock n.applyLabel:  END: ZPZp6MKkqs                                                           :0.029440
15:58:06:211   cBlockDiagramBlock.Rectangle:  END: Opening stock n                                                     :0.030768
15:58:06:211   Opening stock n loaded in mElements                                                                     :0.031803
15:58:06:211   Rectangle 6 0                                                                                           :0.000067
15:58:06:211   cBlockDiagramBlock.Rectangle:  START
15:58:06:211    Opening stock n-3.applyLabel:  START
15:58:06:211     HashIt.BASE64SHA1:  START
15:58:06:216     HashIt.BASE64SHA1:  END                                                                               :0.000392
15:58:06:241     HashIt.BASE64SHA1:  START
15:58:06:241     HashIt.BASE64SHA1:  END                                                                               :0.000462
15:58:06:241    Opening stock n-3.applyLabel:  END: IDKZP39s5U                                                         :0.028361
15:58:06:241   cBlockDiagramBlock.Rectangle:  END: Opening stock n-3                                                   :0.029652
15:58:06:241   Opening stock n-3 loaded in mElements                                                                   :0.030693
15:58:06:241   Curved Connector 7 3                                                                                    :0.000063
15:58:06:241   loading Curved Connector 7 in mElements                                                                 :0.000037
15:58:06:241   Rectangle 8 0                                                                                           :0.000206
15:58:06:241   cBlockDiagramBlock.Rectangle:  START
15:58:06:246    Available cash n.applyLabel:  START
15:58:06:246     HashIt.BASE64SHA1:  START
15:58:06:246     HashIt.BASE64SHA1:  END                                                                               :0.000373
15:58:06:271     HashIt.BASE64SHA1:  START
15:58:06:271     HashIt.BASE64SHA1:  END                                                                               :0.000444
15:58:06:271    Available cash n.applyLabel:  END: HMBzYHYQ7o                                                          :0.028080
15:58:06:271   cBlockDiagramBlock.Rectangle:  END: Available cash n                                                    :0.029627
15:58:06:276   Available cash n loaded in mElements                                                                    :0.030761
15:58:06:276   Curved Connector 11 3                                                                                   :0.000070
15:58:06:276   loading Curved Connector 11 in mElements                                                                :0.000038
15:58:06:276   Curved Connector 12 3                                                                                   :0.000197
15:58:06:276   loading Curved Connector 12 in mElements                                                                :0.000041
15:58:06:276   Rectangle 13 0                                                                                          :0.000174
15:58:06:276   cBlockDiagramBlock.Rectangle:  START
15:58:06:276    Actual COS n.applyLabel:  START
15:58:06:276     HashIt.BASE64SHA1:  START
15:58:06:276     HashIt.BASE64SHA1:  END                                                                               :0.000370
15:58:06:306     HashIt.BASE64SHA1:  START
15:58:06:306     HashIt.BASE64SHA1:  END                                                                               :0.000470
15:58:06:306    Actual COS n.applyLabel:  END: Label4                                                                  :0.029411
15:58:06:306   cBlockDiagramBlock.Rectangle:  END: Actual COS n                                                        :0.030934
15:58:06:306   Actual COS n loaded in mElements                                                                        :0.031971
15:58:06:306   Rectangle 14 0                                                                                          :0.000067
15:58:06:306   cBlockDiagramBlock.Rectangle:  START
15:58:06:306    Actual COS n-1.applyLabel:  START
15:58:06:306     HashIt.BASE64SHA1:  START
15:58:06:306     HashIt.BASE64SHA1:  END                                                                               :0.000335
15:58:06:336     HashIt.BASE64SHA1:  START
15:58:06:336     HashIt.BASE64SHA1:  END                                                                               :0.000490
15:58:06:336    Actual COS n-1.applyLabel:  END: zm7LI5UpF5                                                            :0.030043
15:58:06:336   cBlockDiagramBlock.Rectangle:  END: Actual COS n-1                                                      :0.031338
15:58:06:341   Actual COS n-1 loaded in mElements                                                                      :0.032561
15:58:06:341   Curved Connector 15 3                                                                                   :0.000076
15:58:06:341   loading Curved Connector 15 in mElements                                                                :0.000044
15:58:06:341   Curved Connector 16 3                                                                                   :0.000220
15:58:06:341   loading Curved Connector 16 in mElements                                                                :0.000048
15:58:06:341   Curved Connector 17 3                                                                                   :0.000195
15:58:06:341   loading Curved Connector 17 in mElements                                                                :0.000046
15:58:06:341   Curved Connector 18 3                                                                                   :0.000193
15:58:06:341   loading Curved Connector 18 in mElements                                                                :0.000037
15:58:06:341   Curved Connector 19 3                                                                                   :0.000155
15:58:06:341   loading Curved Connector 19 in mElements                                                                :0.000039
15:58:06:341   Rectangle 20 0                                                                                          :0.000161
15:58:06:341   cBlockDiagramBlock.Rectangle:  START
15:58:06:341    Actual Sales n.applyLabel:  START
15:58:06:341     HashIt.BASE64SHA1:  START
15:58:06:341     HashIt.BASE64SHA1:  END                                                                               :0.000412
15:58:06:371     HashIt.BASE64SHA1:  START
15:58:06:371     HashIt.BASE64SHA1:  END                                                                               :0.000586
15:58:06:371    Actual Sales n.applyLabel:  END: Label5                                                                :0.029391
15:58:06:371   cBlockDiagramBlock.Rectangle:  END: Actual Sales n                                                      :0.030876
15:58:06:371   Actual Sales n loaded in mElements                                                                      :0.031935
15:58:06:371   Curved Connector 21 3                                                                                   :0.000062
15:58:06:371   loading Curved Connector 21 in mElements                                                                :0.000037
15:58:06:371   Curved Connector 22 3                                                                                   :0.000189
15:58:06:371   loading Curved Connector 22 in mElements                                                                :0.000041
15:58:06:371   Rectangle 23 0                                                                                          :0.000172
15:58:06:371   cBlockDiagramBlock.Rectangle:  START
15:58:06:371    Proposed COS.applyLabel:  START
15:58:06:376     HashIt.BASE64SHA1:  START
15:58:06:376     HashIt.BASE64SHA1:  END                                                                               :0.000394
15:58:06:401     HashIt.BASE64SHA1:  START
15:58:06:401     HashIt.BASE64SHA1:  END                                                                               :0.000565
15:58:06:401    Proposed COS.applyLabel:  END: Label6                                                                  :0.029200
15:58:06:401   cBlockDiagramBlock.Rectangle:  END: Proposed COS                                                        :0.029920
15:58:06:406   Proposed COS loaded in mElements                                                                        :0.030539
15:58:06:406   Rectangle 24 0                                                                                          :0.000084
15:58:06:406   cBlockDiagramBlock.Rectangle:  START
15:58:06:406    Proposed Stock Purchase.applyLabel:  START
15:58:06:406     HashIt.BASE64SHA1:  START
15:58:06:406     HashIt.BASE64SHA1:  END                                                                               :0.000328
15:58:06:431     HashIt.BASE64SHA1:  START
15:58:06:431     HashIt.BASE64SHA1:  END                                                                               :0.000484
15:58:06:431    Proposed Stock Purchase.applyLabel:  END: LVj1AUT9EN                                                   :0.029248
15:58:06:436   cBlockDiagramBlock.Rectangle:  END: Proposed Stock Purchase                                             :0.030009
15:58:06:436   Proposed Stock Purchase loaded in mElements                                                             :0.030628
15:58:06:436   Rectangle 26 0                                                                                          :0.000062
15:58:06:436   cBlockDiagramBlock.Rectangle:  START
15:58:06:436    Product Data final sales.applyLabel:  START
15:58:06:436     HashIt.BASE64SHA1:  START
15:58:06:436     HashIt.BASE64SHA1:  END                                                                               :0.000343
15:58:06:466     HashIt.BASE64SHA1:  START
15:58:06:466     HashIt.BASE64SHA1:  END                                                                               :0.000503
15:58:06:466    Product Data final sales.applyLabel:  END: dZSBjhnmaJ                                                  :0.029336
15:58:06:466   cBlockDiagramBlock.Rectangle:  END: Product Data final sales                                            :0.030747
15:58:06:466   Product Data final sales loaded in mElements                                                            :0.031789
15:58:06:466   Rectangle 27 0                                                                                          :0.000067
15:58:06:466   cBlockDiagramBlock.Rectangle:  START
15:58:06:466    Product Data time const.applyLabel:  START
15:58:06:466     HashIt.BASE64SHA1:  START
15:58:06:466     HashIt.BASE64SHA1:  END                                                                               :0.000338
15:58:06:496     HashIt.BASE64SHA1:  START
15:58:06:496     HashIt.BASE64SHA1:  END                                                                               :0.000450
15:58:06:496    Product Data time const.applyLabel:  END: Label7                                                       :0.028722
15:58:06:496   cBlockDiagramBlock.Rectangle:  END: Product Data time const                                             :0.029994
15:58:06:496   Product Data time const loaded in mElements                                                             :0.031021
15:58:06:496   Rectangle 28 0                                                                                          :0.000069
15:58:06:496   cBlockDiagramBlock.Rectangle:  START
15:58:06:496    Product Data initial sales.applyLabel:  START
15:58:06:501     HashIt.BASE64SHA1:  START
15:58:06:501     HashIt.BASE64SHA1:  END                                                                               :0.000321
15:58:06:526     HashIt.BASE64SHA1:  START
15:58:06:526     HashIt.BASE64SHA1:  END                                                                               :0.000538
15:58:06:526    Product Data initial sales.applyLabel:  END: hov3Xwjssk                                                :0.028968
15:58:06:526   cBlockDiagramBlock.Rectangle:  END: Product Data initial sales                                          :0.030239
15:58:06:531   Product Data initial sales loaded in mElements                                                          :0.031317
15:58:06:531   Curved Connector 29 3                                                                                   :0.000063
15:58:06:531   loading Curved Connector 29 in mElements                                                                :0.000038
15:58:06:531   Curved Connector 30 3                                                                                   :0.000187
15:58:06:531   loading Curved Connector 30 in mElements                                                                :0.000041
15:58:06:531   Curved Connector 31 3                                                                                   :0.000166
15:58:06:531   loading Curved Connector 31 in mElements                                                                :0.000040
15:58:06:531   Curved Connector 33 3                                                                                   :0.000165
15:58:06:531   loading Curved Connector 33 in mElements                                                                :0.000039
15:58:06:531   Curved Connector 34 3                                                                                   :0.000161
15:58:06:531   loading Curved Connector 34 in mElements                                                                :0.000040
15:58:06:531   Curved Connector 35 3                                                                                   :0.000161
15:58:06:531   loading Curved Connector 35 in mElements                                                                :0.000040
15:58:06:531   Rectangle 36 0                                                                                          :0.000167
15:58:06:531   cBlockDiagramBlock.Rectangle:  START
15:58:06:531    Reserves n.applyLabel:  START
15:58:06:531     HashIt.BASE64SHA1:  START
15:58:06:531     HashIt.BASE64SHA1:  END                                                                               :0.000320
15:58:06:556     HashIt.BASE64SHA1:  START
15:58:06:556     HashIt.BASE64SHA1:  END                                                                               :0.000593
15:58:06:561    Reserves n.applyLabel:  END: maXZ1dKYiQ                                                                :0.027461
15:58:06:561   cBlockDiagramBlock.Rectangle:  END: Reserves n                                                          :0.028790
15:58:06:561   Reserves n loaded in mElements                                                                          :0.029819
15:58:06:561   Curved Connector 37 3                                                                                   :0.000062
15:58:06:561   loading Curved Connector 37 in mElements                                                                :0.000037
15:58:06:561   Rectangle 38 0                                                                                          :0.000194
15:58:06:561   cBlockDiagramBlock.Rectangle:  START
15:58:06:561    Budget COS n.applyLabel:  START
15:58:06:561     HashIt.BASE64SHA1:  START
15:58:06:561     HashIt.BASE64SHA1:  END                                                                               :0.000345
15:58:06:591     HashIt.BASE64SHA1:  START
15:58:06:591     HashIt.BASE64SHA1:  END                                                                               :0.000589
15:58:06:591    Budget COS n.applyLabel:  END: Gb9AdivjZX                                                              :0.028665
15:58:06:591   cBlockDiagramBlock.Rectangle:  END: Budget COS n                                                        :0.029992
15:58:06:591   Budget COS n loaded in mElements                                                                        :0.031030
15:58:06:591   Curved Connector 40 3                                                                                   :0.000066
15:58:06:591   loading Curved Connector 40 in mElements                                                                :0.000038
15:58:06:591   Curved Connector 41 3                                                                                   :0.000190
15:58:06:591   loading Curved Connector 41 in mElements                                                                :0.000041
15:58:06:591   Rectangle 42 0                                                                                          :0.000174
15:58:06:591   cBlockDiagramBlock.Rectangle:  START
15:58:06:591    Reserves n-1.applyLabel:  START
15:58:06:591     HashIt.BASE64SHA1:  START
15:58:06:596     HashIt.BASE64SHA1:  END                                                                               :0.000400
15:58:06:621     HashIt.BASE64SHA1:  START
15:58:06:621     HashIt.BASE64SHA1:  END                                                                               :0.000458
15:58:06:621    Reserves n-1.applyLabel:  END: G2Vk4Q1RyE                                                              :0.027636
15:58:06:621   cBlockDiagramBlock.Rectangle:  END: Reserves n-1                                                        :0.028981
15:58:06:621   Reserves n-1 loaded in mElements                                                                        :0.030030
15:58:06:621   Curved Connector 43 3                                                                                   :0.000062
15:58:06:621   loading Curved Connector 43 in mElements                                                                :0.000037
15:58:06:621   Curved Connector 44 3                                                                                   :0.000190
15:58:06:621   loading Curved Connector 44 in mElements                                                                :0.000040
15:58:06:621   Curved Connector 45 3                                                                                   :0.000168
15:58:06:621   loading Curved Connector 45 in mElements                                                                :0.000040
15:58:06:621   Curved Connector 46 3                                                                                   :0.000165
15:58:06:621   loading Curved Connector 46 in mElements                                                                :0.000040
15:58:06:621   Curved Connector 47 3                                                                                   :0.000163
15:58:06:621   loading Curved Connector 47 in mElements                                                                :0.000040
15:58:06:621   Curved Connector 48 3                                                                                   :0.000162
